,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
2200e5e,175.545834279,-38.1224774638,0.055,0.775,0.5,690.974348966218,False,False,False,False,False,False,True,True,True,True
2200e5f,175.523002141,-38.1045089547,0.045,0.875,0.5,690.974348966313,False,False,False,False,False,False,True,True,True,True
2200e60,175.548589235,-38.1583448409,0.055,0.775,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
2200e61,175.571443852,-38.1763089262,0.055,0.725,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e62,175.548589235,-38.194277441,0.045,0.725,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e63,175.525734619,-38.1763089262,0.045,0.675,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e64,175.50288,-38.1942863,0.055,0.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e65,175.525745899,-38.2122503825,0.045,0.675,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e66,175.50288,-38.2302189001,0.055,0.725,0.5,455.0,False,False,False,False,False,False,True,True,True,True
2200e67,175.480014101,-38.2122503825,0.055,0.675,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200e68,175.56975,-39.9171663,0.055,0.325,0.5,455.000000002151,True,True,False,False,False,False,True,True,True,True
2200e69,175.593181094,-39.9351302419,0.045,0.325,0.5,455.000000008229,True,True,False,False,False,False,True,True,True,True
2200e6a,175.56975,-39.9530989001,0.055,0.325,0.5,335.27950350445,True,True,False,False,False,False,True,True,True,True
2200e6b,175.546318906,-39.9351302419,0.065,0.325,0.5,455.000000000385,True,True,False,False,False,False,True,True,True,True
2200e6c,175.57834,-40.1325163,0.065,0.875,0.5,335.279503509625,True,True,False,False,False,True,True,True,True,True
2200e6d,175.601845221,-40.1504802238,0.055,0.375,0.5,335.279503555878,True,True,False,False,False,True,True,True,True,True
2200e6e,175.57834,-40.1684489001,0.065,0.825,0.5,455.000000006944,True,True,False,False,False,True,True,True,True,True
2200e6f,175.554834779,-40.1504802238,0.065,0.925,0.5,455.000000004022,True,True,False,False,False,True,True,True,True,True
2200e70,175.62825528,-40.1683641828,0.075,0.375,0.5,500.000000047553,True,True,False,False,False,True,True,True,True,True
2200e71,175.651772918,-40.1863281036,0.065,0.325,0.5,335.279503698436,True,True,False,False,False,True,True,True,True,True
2200e72,175.62825528,-40.2042967829,0.075,0.375,0.5,500.000000011909,True,True,False,False,False,True,True,True,True,True
2200e73,175.604737641,-40.1863281036,0.065,0.375,0.5,335.279503510011,True,True,False,False,False,True,True,True,True,True
2200e74,175.58122,-40.2043063,0.075,0.575,0.5,335.279503502118,True,True,False,False,False,True,True,True,True,True
2200e75,175.60475011,-40.2222702178,0.065,0.375,0.5,335.279503504494,True,True,False,False,False,True,True,True,True,True
2200e76,175.58122,-40.2402389001,0.075,0.525,0.5,335.279503497662,True,True,False,False,False,True,True,True,True,True
2200e77,175.55768989,-40.2222702178,0.065,1.125,0.5,335.279503497589,True,True,False,False,False,True,True,True,True,True
2200e78,175.58411,-40.2760863,0.075,0.375,0.5,500.000000000108,True,True,False,False,False,True,True,True,True,True
2200e79,175.607665086,-40.2940502117,0.075,0.325,0.5,500.000000000183,True,True,False,False,False,True,True,True,True,True
2200e7a,175.58411,-40.3120189001,0.075,0.325,0.5,500.000000000165,True,True,False,False,False,True,True,True,True,True
2200e7b,175.560554914,-40.2940502117,0.075,0.325,0.5,500.000000000087,True,True,False,False,False,True,True,True,True,True
2200e7c,175.63412519,-40.3119341344,0.075,0.325,0.5,500.000000000252,True,True,False,False,False,True,True,True,True,True
2200e7d,175.657692783,-40.329898043,0.065,0.325,0.5,500.000000000686,True,True,False,False,False,True,True,True,True,True
2200e7e,175.63412519,-40.3478667345,0.065,0.325,0.5,500.000000003023,True,True,False,False,False,True,True,True,True,True
2200e7f,175.610557597,-40.329898043,0.065,0.325,0.5,500.000000001141,True,True,False,False,False,True,True,True,True,True
2200e80,175.58699,-40.3478763,0.065,0.325,0.5,500.000000003337,True,True,False,False,False,True,True,True,True,True
2200e81,175.610570156,-40.3658402057,0.065,0.275,0.5,500.000000009163,True,True,False,False,False,True,True,True,True,True
2200e82,175.58699,-40.3838089001,0.065,0.275,0.5,500.000000054962,True,True,True,False,False,True,True,True,True,True
2200e83,175.563409844,-40.3658402057,0.065,0.325,0.5,500.000000011076,True,True,True,False,False,True,True,True,True,True
2200e84,175.637075412,-40.38371411,0.065,0.275,0.5,225.427547236004,True,True,False,False,False,True,True,True,True,True
2200e85,175.660668116,-40.4016780126,0.065,0.275,0.5,230.587199146044,True,True,False,False,False,True,True,True,True,True
2200e86,175.637075412,-40.4196467101,0.065,0.275,0.5,500.000000629411,True,True,True,False,False,True,True,True,True,True
2200e87,175.613482708,-40.4016780126,0.055,0.275,0.5,223.137681525539,True,True,True,False,False,True,True,True,True,True
2200e88,175.58989,-40.4196563,0.065,0.275,0.5,220.296825274711,True,True,True,False,False,True,True,True,True,True
2200e89,175.613495312,-40.4376201996,0.055,0.275,0.5,500.000002523641,True,True,True,False,False,True,True,True,True,True
2200e8a,175.58989,-40.4555889001,0.055,0.275,0.5,239.000001763199,True,True,True,False,False,True,True,True,True,True
2200e8b,175.566284688,-40.4376201996,0.065,0.275,0.5,217.572304219018,True,True,True,False,False,True,True,True,True,True
2200e8c,175.654880601,-40.814423963,0.035,0.225,0.5,455.000606120229,True,True,True,False,False,True,True,True,True,True
2200e8d,175.6786259,-40.8323878289,0.065,0.275,0.5,455.000104181866,True,True,True,False,False,True,True,True,True,True
2200e8e,175.654880601,-40.8503565631,0.065,0.275,0.5,500.000015187842,True,True,True,False,False,True,True,True,True,True
2200e8f,175.631135302,-40.8323878289,0.065,0.275,0.5,500.000076196353,True,True,True,False,False,True,True,True,True,True
2200e90,175.657862116,-40.8862139384,0.065,0.275,0.5,500.000001023089,True,True,True,False,False,True,True,True,True,True
2200e91,175.681633172,-40.904177798,0.065,0.275,0.5,500.000000251971,True,True,True,False,False,True,True,True,True,True
2200e92,175.657862116,-40.9221465385,0.065,0.325,0.5,500.000000075154,True,True,True,False,False,True,True,True,True,True
2200e93,175.63409106,-40.904177798,0.065,0.275,0.5,500.000000551039,True,True,True,False,False,True,True,True,True,True
2200e94,175.61032,-40.9221563,0.065,0.325,0.5,500.000000089056,True,True,True,False,False,True,True,True,True,True
2200e95,175.634103987,-40.9401201566,0.065,0.325,0.5,500.000000040548,True,True,True,False,False,True,True,True,True,True
2200e96,175.61032,-40.9580889001,0.075,0.325,0.5,500.000000005006,True,True,True,False,False,True,True,True,True,True
2200e97,175.586536013,-40.9401201566,0.065,0.325,0.5,500.000000048079,True,True,True,False,False,True,True,True,True,True
2200e98,175.663875698,-41.0297838888,0.075,0.375,0.5,455.000000000122,True,True,True,False,False,True,True,True,True,True
2200e99,175.687698546,-41.0477477361,0.075,0.375,0.5,455.000000000008,True,True,True,False,False,True,True,True,True,True
2200e9a,175.663875698,-41.0657164889,0.075,0.675,0.5,500.000000000003,True,True,True,False,False,True,True,True,True,True
2200e9b,175.640052851,-41.0477477361,0.075,0.475,0.5,500.000000000004,True,True,True,False,False,True,True,True,True,True
2200e9c,175.61623,-41.0657263,0.075,0.825,0.5,500.000000000003,True,True,True,False,False,True,True,True,True,True
2200e9d,175.640065872,-41.0836901442,0.065,0.975,0.5,246.6138371423,True,True,True,False,False,True,True,True,True,True
2200e9e,175.61623,-41.1016589001,0.055,1.375,0.5,455.0,True,True,True,False,False,True,True,True,True,True
2200e9f,175.592394128,-41.0836901442,0.075,1.125,0.5,500.000000000001,True,True,True,False,False,True,True,True,True,True
2200ea0,175.61917,-41.1375063,0.075,1.675,0.5,455.0,True,True,True,False,False,True,True,True,True,True
2200ea1,175.643031954,-41.155470138,0.055,2.025,0.5,455.0,True,True,True,False,False,True,True,True,True,True
2200ea2,175.61917,-41.1734389001,0.055,2.075,0.5,455.0,True,True,True,False,False,True,True,True,True,True
2200ea3,175.595308046,-41.155470138,0.065,1.825,0.5,500.0,True,True,True,False,False,True,True,True,True,True
2200ea4,175.53894,-36.7565663,0.035,0.625,0.5,690.976491514217,False,False,False,False,False,False,True,True,True,True
2200ea5,175.561369906,-36.7745304948,0.035,0.475,0.5,690.980681241602,False,False,False,False,False,False,True,True,True,True
2200ea6,175.53894,-36.7924989001,0.045,0.475,0.5,455.001435792598,False,False,False,False,False,False,True,True,True,True
2200ea7,175.516510094,-36.7745304948,0.065,0.375,0.5,690.974821464825,False,False,False,False,False,False,True,True,True,True
2200ea8,175.494101199,-36.7206252897,0.045,0.675,0.5,690.974468919649,False,False,False,False,False,False,True,True,True,True
2200ea9,175.516520598,-36.7385894871,0.045,0.675,0.5,690.974909824077,False,False,False,False,False,False,True,True,True,True
2200eaa,175.494101199,-36.7565578898,0.045,0.425,0.5,240.000017382752,False,False,False,False,False,False,True,True,True,True
2200eac,175.54982,-37.0437063,0.045,0.325,0.5,690.974348969452,False,False,False,False,False,False,True,True,True,True
2200ead,175.572334519,-37.0616704727,0.035,0.325,0.5,690.974348966991,False,False,False,False,False,False,True,True,True,True
2200eae,175.54982,-37.0796389001,0.045,0.325,0.5,690.974348966435,False,False,False,False,False,False,True,True,True,True
2200eaf,175.527305481,-37.0616704727,0.045,0.325,0.5,690.974348966509,False,False,False,False,False,False,True,True,True,True
2200eb1,175.527316135,-37.0257293768,0.045,0.325,0.5,690.974348971469,False,False,False,False,False,False,True,True,True,True
2200eb4,175.55255,-37.1154863,0.035,0.325,0.5,690.974348966219,False,False,False,False,False,False,True,True,True,True
2200eb5,175.57508586,-37.1334504671,0.035,0.325,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
2200eb6,175.55255,-37.1514189001,0.615,1.425,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200eb9,175.530024832,-37.0975093491,0.035,0.325,0.5,690.974348966249,False,False,False,False,False,False,True,True,True,True
2200ebc,175.600373089,-37.151325157,0.045,0.325,0.3,240.000000000001,False,False,False,False,False,False,True,True,True,True
2200ebd,175.622919632,-37.1692893213,0.035,0.325,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
2200ebe,175.600373089,-37.1872577571,0.045,0.325,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200ebf,175.577826546,-37.1692893213,0.065,0.325,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec0,175.55528,-37.1872663,0.615,1.975,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec1,175.577837276,-37.2052304616,0.615,2.025,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec2,175.55528,-37.2231989001,0.605,1.725,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec3,175.532722724,-37.2052304616,0.605,1.675,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec4,175.603166004,-37.2231151348,0.615,2.025,0.3,245.000087109544,False,False,False,False,False,False,True,True,True,True
2200ec5,175.625734004,-37.2410792935,0.615,1.925,0.3,306.031710806825,False,False,False,False,False,False,True,True,True,True
2200ec6,175.603166004,-37.2590477349,0.615,1.775,0.3,297.071442188941,False,False,False,False,False,False,True,True,True,True
2200ec7,175.580598003,-37.2410792935,0.605,1.825,0.3,240.0,False,False,False,False,False,False,True,True,True,True
2200ec8,175.619976689,-37.6538050004,0.335,0.375,0.3,500.007172535637,False,False,False,False,False,False,True,True,True,True
2200ec9,175.642675032,-37.6717691255,0.345,0.375,0.3,335.29543381362,False,False,False,False,False,False,True,True,True,True
2200eca,175.619976689,-37.6897376005,0.045,0.325,0.3,691.020609426508,False,False,False,False,False,False,True,True,True,True
2200ecb,175.597278346,-37.6717691255,0.065,0.325,0.3,335.43999356549,False,False,False,False,False,False,True,True,True,True
2200ecc,175.622800678,-37.7255849778,0.065,0.325,0.3,335.43966076162,False,False,False,False,False,False,True,True,True,True
2200ecd,175.645521016,-37.7435490973,0.065,0.375,0.3,335.3169640785,False,False,False,False,False,False,True,True,True,True
2200ece,175.622800678,-37.7615175779,0.065,0.375,0.3,335.388435074898,False,False,False,False,False,False,True,True,True,True
2200ecf,175.600080341,-37.7435490973,0.035,0.325,0.3,455.431690682638,False,False,False,False,False,False,True,True,True,True
2200ed0,175.58015,-37.8333163,0.065,0.575,0.3,455.018403342542,False,False,False,False,False,False,True,True,True,True
2200ed1,175.602903496,-37.8512804111,0.055,0.775,0.3,455.003165040844,False,False,False,False,False,False,True,True,True,True
2200ed2,175.58015,-37.8692489001,0.035,0.675,0.3,690.975423442351,False,False,False,False,False,False,True,True,True,True
2200ed3,175.557396504,-37.8512804111,0.065,0.575,0.3,690.981642126054,False,False,False,False,False,False,True,True,True,True
2200ed4,175.628479135,-37.8691549326,0.055,0.875,0.3,455.000414092396,False,False,False,False,False,False,True,True,True,True
2200ed5,175.651243701,-37.8871190408,0.045,0.825,0.3,690.974389027738,False,False,False,False,False,False,True,True,True,True
2200ed6,175.628479135,-37.9050875327,0.055,0.925,0.3,455.000029668403,False,False,False,False,False,False,True,True,True,True
2200ed7,175.605714569,-37.8871190408,0.055,0.825,0.3,455.000206678326,False,False,False,False,False,False,True,True,True,True
2200ed8,175.58295,-37.9050963,0.055,0.825,0.3,690.974440960134,False,False,False,False,False,False,True,True,True,True
2200ed9,175.605725688,-37.9230604054,0.045,0.875,0.3,690.974363531946,False,False,False,False,False,False,True,True,True,True
2200eda,175.58295,-37.9410289001,0.065,0.875,0.3,500.000004942852,False,False,False,False,False,False,True,True,True,True
2200edb,175.560174312,-37.9230604054,0.075,0.825,0.3,500.000020745716,False,False,False,False,False,False,True,True,True,True
2200edc,175.631313597,-37.9409349099,0.045,0.975,0.3,690.974350810097,False,False,False,False,False,False,True,True,True,True
2200edd,175.654100394,-37.9588990124,0.055,0.975,0.5,690.974349303005,False,False,False,False,False,False,True,True,True,True
2200ede,175.631313597,-37.97686751,0.045,1.075,0.5,690.974349111061,False,False,False,False,False,False,True,True,True,True
2200edf,175.6085268,-37.9588990124,0.045,0.925,0.3,500.000000806954,False,False,False,False,False,False,True,True,True,True
2200ee0,175.58574,-37.9768763,0.095,1.025,0.3,455.000000806203,False,False,False,False,False,False,True,True,True,True
2200ee1,175.608537958,-37.9948403997,0.065,1.175,0.3,455.000000148162,False,False,False,False,False,False,True,True,True,True
2200ee2,175.58574,-38.0128089001,0.045,1.425,0.3,690.974349010069,False,False,False,False,False,False,True,True,True,True
2200ee3,175.562942042,-37.9948403997,0.045,1.175,0.3,455.000000206188,False,False,False,False,False,False,True,True,True,True
2200ee4,175.59134,-38.1204463,0.075,0.925,0.3,500.000000000004,False,False,False,False,False,False,True,True,True,True
2200ee5,175.614182741,-38.1384103883,0.045,0.875,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
2200ee6,175.59134,-38.1563789001,0.055,0.875,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
2200ee7,175.568497259,-38.1384103883,0.045,0.875,0.5,690.974348966216,False,False,False,False,False,False,True,True,True,True
2200ee8,175.692284914,-39.4483444229,0.045,0.275,0.5,500.0,True,True,False,False,False,False,True,True,True,True
2200ee9,175.715557369,-39.4663084037,0.045,0.275,0.5,246.6138371423,True,True,False,False,False,False,True,True,True,True
2200eea,175.692284914,-39.484277023,0.075,0.275,0.5,162.892120019443,True,True,False,False,False,False,True,True,True,True
2200eeb,175.669012458,-39.4663084037,0.065,0.325,0.5,455.0,True,True,False,False,False,False,True,True,True,True
2200eec,175.722263747,-40.1661541836,0.055,0.325,0.5,455.000014600399,True,True,False,False,False,False,True,True,True,True
2200eed,175.745780619,-40.1841181045,0.055,0.275,0.5,500.000007864866,True,True,False,False,False,False,True,True,True,True
2200eee,175.722263747,-40.2020867837,0.055,0.275,0.5,500.000000965235,True,True,False,False,False,True,True,True,True,True
2200eef,175.698746875,-40.1841181045,0.065,0.325,0.5,455.000001931038,True,True,False,False,False,False,True,True,True,True
2200ef0,175.67523,-40.2020963,0.055,0.325,0.5,455.000000195177,True,True,False,False,False,True,True,True,True,True
2200ef1,175.698759343,-40.220060218,0.055,0.325,0.5,455.000000380531,True,True,False,False,False,True,True,True,True,True
2200ef2,175.67523,-40.2380289001,0.055,0.325,0.5,455.000000083997,True,True,False,False,False,True,True,True,True,True
2200ef3,175.651700657,-40.220060218,0.065,0.325,0.5,455.00000006439,True,True,False,False,False,True,True,True,True,True
2200ef4,175.67822,-40.2738763,0.055,0.325,0.5,455.000000008998,True,True,False,False,False,True,True,True,True,True
2200ef5,175.701774316,-40.2918402119,0.055,0.275,0.5,455.000000008841,True,True,False,False,False,True,True,True,True,True
2200ef6,175.67822,-40.3098089001,0.065,0.325,0.5,455.000000002567,True,True,False,False,False,True,True,True,True,True
2200ef7,175.654665684,-40.2918402119,0.065,0.325,0.5,455.000000002642,True,True,False,False,False,True,True,True,True,True
2200ef8,175.728343632,-40.3097041351,0.065,0.275,0.5,500.000000003638,True,True,False,False,False,True,True,True,True,True
2200ef9,175.751910447,-40.327668044,0.055,0.275,0.5,500.000000003118,True,True,False,False,False,True,True,True,True,True
2200efa,175.728343632,-40.3456367352,0.055,0.275,0.5,500.000000001028,True,True,False,False,False,True,True,True,True,True
2200efb,175.704776818,-40.327668044,0.065,0.275,0.5,500.0,True,True,False,False,False,True,True,True,True,True
2200efc,175.68121,-40.3456463,0.065,0.275,0.5,500.0,True,True,False,False,False,True,True,True,True,True
2200efd,175.704789376,-40.3636102058,0.065,0.275,0.5,223.839422480552,True,True,False,False,False,True,True,True,True,True
2200efe,175.68121,-40.3815789001,0.055,0.275,0.5,226.844340179861,True,True,False,False,False,True,True,True,True,True
2200eff,175.657630624,-40.3636102058,0.065,0.275,0.5,500.000000004496,True,True,False,False,False,True,True,True,True,True
2200f00,175.734444254,-40.4532740864,0.065,0.275,0.5,500.000000837721,True,True,False,False,False,True,True,True,True,True
2200f01,175.758061379,-40.4712379831,0.065,0.275,0.5,500.000001021746,True,True,False,False,False,True,True,True,True,True
2200f02,175.734444254,-40.4892066865,0.065,0.275,0.5,500.000008208237,True,True,True,False,False,True,True,True,True,True
2200f03,175.710827129,-40.4712379831,0.055,0.275,0.5,455.000014289967,True,True,True,False,False,True,True,True,True,True
2200f04,175.69324,-40.6327763,0.045,0.275,0.5,455.141192781453,True,True,True,False,False,True,True,True,True,True
2200f05,175.71692054,-40.6507401814,0.065,0.275,0.5,500.020466480919,True,True,True,False,False,True,True,True,True,True
2200f06,175.69324,-40.6687089001,0.055,0.275,0.5,500.085706041245,True,True,True,False,False,True,True,True,True,True
2200f07,175.66955946,-40.6507401814,0.065,0.275,0.5,500.325489952471,True,True,True,False,False,True,True,True,True,True
2200f08,175.70232,-40.8481063,0.055,0.275,0.5,455.000018180357,True,True,True,False,False,True,True,True,True,True
2200f09,175.726077372,-40.866070163,0.035,0.275,0.5,455.000002357621,True,True,True,False,False,True,True,True,True,True
2200f0a,175.70232,-40.8840389001,0.065,0.275,0.5,455.000001680674,True,True,True,False,False,True,True,True,True,True
2200f0b,175.678562628,-40.866070163,0.045,0.275,0.5,500.000004431352,True,True,True,False,False,True,True,True,True,True
2200f0c,175.70535,-40.9198863,0.065,0.325,0.5,500.000000055249,True,True,True,False,False,True,True,True,True,True
2200f0d,175.729133169,-40.9378501568,0.065,0.325,0.5,500.000000004832,True,True,True,False,False,True,True,True,True,True
2200f0e,175.70535,-40.9558189001,0.065,0.325,0.5,500.000000003583,True,True,True,False,False,True,True,True,True,True
2200f0f,175.681566831,-40.9378501568,0.065,0.325,0.5,500.000000027456,True,True,True,False,False,True,True,True,True,True
2200f11,175.65357929,-36.7724252947,0.065,0.325,0.5,692.454572776457,False,False,False,False,False,False,True,True,True,True
2200f12,175.63115,-36.7903937,0.035,0.375,0.5,691.207748528325,False,False,False,False,False,False,True,True,True,True
2200f13,175.60872071,-36.7724252947,0.065,0.375,0.5,240.015385885814,False,False,False,False,False,False,True,True,True,True
2200f14,175.676029621,-36.7903852683,0.035,0.325,0.5,692.892511752215,False,False,False,False,False,False,True,True,True,True
2200f15,175.69846943,-36.8083494604,0.035,0.325,0.5,692.021015432844,False,False,False,False,False,False,True,True,True,True
2200f16,175.676029621,-36.8263178684,0.055,0.325,0.5,218.468613236949,False,False,False,False,False,False,True,True,True,True
2200f17,175.653589812,-36.8083494604,0.035,0.325,0.5,691.243315225642,False,False,False,False,False,False,True,True,True,True
2200f18,175.681744069,-36.9339452242,0.065,0.325,0.5,240.000010441848,False,False,False,False,False,False,True,True,True,True
2200f19,175.704226103,-36.9519094053,0.035,0.325,0.5,240.000002588829,False,False,False,False,False,False,True,True,True,True
2200f1a,175.681744069,-36.9698778243,0.035,0.325,0.5,690.974352749005,False,False,False,False,False,False,True,True,True,True
2200f1b,175.659262036,-36.9519094053,0.045,0.325,0.5,240.00000201928,False,False,False,False,False,False,True,True,True,True
2200f1c,175.64809,-37.2569963,0.615,1.675,0.3,363.220605567926,False,False,False,False,False,False,True,True,True,True
2200f1d,175.670668154,-37.2749604562,0.035,0.325,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200f1e,175.64809,-37.2929289001,0.615,1.775,0.3,414.511227124756,False,False,False,False,False,False,True,True,True,True
2200f1f,175.625511846,-37.2749604562,0.615,1.775,0.3,354.114362664249,False,False,False,False,False,False,True,True,True,True
2200f20,175.696097833,-37.2928451131,0.065,0.325,0.3,439.90898808162,False,False,False,False,False,False,True,True,True,True
2200f21,175.718686748,-37.3108092665,0.035,0.325,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200f22,175.696097833,-37.3287777132,0.035,0.325,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
2200f23,175.673508918,-37.3108092665,0.055,0.325,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
2200f24,175.698981031,-37.3646050908,0.045,0.325,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
2200f25,175.721591545,-37.3825692385,0.045,0.325,0.5,690.974348966219,False,False,False,False,False,False,True,True,True,True
2200f26,175.698981031,-37.4005376909,0.065,0.325,0.5,690.974348966368,False,False,False,False,False,False,True,True,True,True
2200f27,175.676370517,-37.3825692385,0.075,0.325,0.3,500.00000000006,False,False,False,False,False,False,True,True,True,True
2200f28,175.65376,-37.4005463,0.615,1.525,0.3,500.000000000161,False,False,False,False,False,False,True,True,True,True
2200f29,175.676381361,-37.418510445,0.095,0.325,0.3,500.000000000204,False,False,False,False,False,False,True,True,True,True
2200f2a,175.65376,-37.4364789001,0.105,0.325,0.3,246.6138371448,False,False,False,False,False,False,True,True,True,True
2200f2b,175.631138639,-37.418510445,0.615,1.625,0.3,500.000000001667,False,False,False,False,False,False,True,True,True,True
2200f2c,175.704777914,-37.508165046,0.255,0.375,0.3,246.61383719742,False,False,False,False,False,False,True,True,True,True
2200f2d,175.727431869,-37.5261291825,0.035,0.875,0.5,690.974349085661,False,False,False,False,False,False,True,True,True,True
2200f2e,175.704777914,-37.5440976461,0.625,1.175,0.3,478.792828012724,False,False,False,False,False,False,True,True,True,True
2200f2f,175.682123958,-37.5261291825,0.615,1.175,0.3,500.000000532218,False,False,False,False,False,False,True,True,True,True
2200f30,175.65947,-37.5441063,0.615,0.925,0.3,500.000002762017,False,False,False,False,False,False,True,True,True,True
2200f31,175.68213488,-37.5620704338,0.625,0.925,0.3,500.000004192528,False,False,False,False,False,False,True,True,True,True
2200f32,175.65947,-37.5800389001,0.625,0.725,0.3,500.000025330952,False,False,False,False,False,False,True,True,True,True
2200f33,175.63680512,-37.5620704338,0.625,0.875,0.3,500.000013016424,False,False,False,False,False,False,True,True,True,True
2200f34,175.66521,-37.6876563,0.325,0.375,0.3,335.285796498858,False,False,False,False,False,False,True,True,True,True
2200f35,175.687918706,-37.7056204225,0.325,0.375,0.3,500.000843086564,False,False,False,False,False,False,True,True,True,True
2200f36,175.66521,-37.7235889001,0.065,0.375,0.3,335.291582948408,False,False,False,False,False,False,True,True,True,True
2200f37,175.642501294,-37.7056204225,0.095,0.375,0.3,335.317834658399,False,False,False,False,False,False,True,True,True,True
2200f38,175.713519395,-37.7234949785,0.355,0.375,0.3,500.000226083597,False,False,False,False,False,False,True,True,True,True
2200f39,175.736239092,-37.7414590981,0.365,0.475,0.3,500.000056397625,False,False,False,False,False,False,True,True,True,True
2200f3a,175.713519395,-37.7594275786,0.085,0.425,0.3,335.280059748658,False,False,False,False,False,False,True,True,True,True
2200f3b,175.690799699,-37.7414590981,0.055,0.375,0.3,690.975596284403,False,False,False,False,False,False,True,True,True,True
2200f3c,175.66808,-37.7594363,0.065,0.375,0.3,335.286302461222,False,False,False,False,False,False,True,True,True,True
2200f3d,175.690810738,-37.7774004169,0.055,0.425,0.3,335.280845954668,False,False,False,False,False,False,True,True,True,True
2200f3e,175.66808,-37.7953689001,0.045,0.425,0.3,335.282941898476,False,False,False,False,False,False,True,True,True,True
2200f3f,175.645349262,-37.7774004169,0.065,0.375,0.3,335.299469521844,False,False,False,False,False,False,True,True,True,True
2200f40,175.716443537,-37.7952749559,0.065,0.575,0.3,690.97445862334,False,False,False,False,False,False,True,True,True,True
2200f41,175.739185305,-37.8132390699,0.245,0.675,0.3,500.000010753995,False,False,False,False,False,False,True,True,True,True
2200f42,175.716443537,-37.831207556,0.055,0.725,0.3,690.974381107542,False,False,False,False,False,False,True,True,True,True
2200f43,175.69370177,-37.8132390699,0.065,0.575,0.3,690.974556524775,False,False,False,False,False,False,True,True,True,True
2200f44,175.67096,-37.8312163,0.035,0.775,0.3,690.974724511102,False,False,False,False,False,False,True,True,True,True
2200f45,175.693712848,-37.8491804112,0.055,0.775,0.3,690.97440538326,False,False,False,False,False,False,True,True,True,True
2200f46,175.67096,-37.8671489001,0.055,0.825,0.3,690.974413255576,False,False,False,False,False,False,True,True,True,True
2200f47,175.648207152,-37.8491804112,0.045,0.775,0.3,690.974778885668,False,False,False,False,False,False,True,True,True,True
2200f48,175.719367837,-37.8670549332,0.055,0.875,0.3,690.974356606777,False,False,False,False,False,False,True,True,True,True
2200f49,175.742131754,-37.8850190416,0.075,0.925,0.3,500.000000727851,False,False,False,False,False,False,True,True,True,True
2200f4a,175.719367837,-37.9029875333,0.065,0.975,0.3,690.974350192021,False,False,False,False,False,False,True,True,True,True
2200f4b,175.69660392,-37.8850190416,0.065,0.875,0.3,690.974357637596,False,False,False,False,False,False,True,True,True,True
2200f4c,175.67384,-37.9029963,0.055,0.925,0.3,690.974356753923,False,False,False,False,False,False,True,True,True,True
2200f4d,175.696615037,-37.9209604056,0.065,1.025,0.3,690.97435011594,False,False,False,False,False,False,True,True,True,True
2200f4e,175.67384,-37.9389289001,0.075,1.025,0.3,500.000000584079,False,False,False,False,False,False,True,True,True,True
2200f4f,175.651064963,-37.9209604056,0.065,0.975,0.3,455.00000759024,False,False,False,False,False,False,True,True,True,True
2200f50,175.722302288,-37.9388249105,0.055,1.125,0.3,690.974349088548,False,False,False,False,False,False,True,True,True,True
2200f51,175.74508843,-37.9567890132,0.035,1.225,0.3,690.974348977665,False,False,False,False,False,False,True,True,True,True
2200f52,175.722302288,-37.9747575106,0.055,1.225,0.3,690.974348974963,False,False,False,False,False,False,True,True,True,True
2200f53,175.699516145,-37.9567890132,0.045,1.125,0.3,690.974349074224,False,False,False,False,False,False,True,True,True,True
2200f54,175.67673,-37.9747663,0.065,1.125,0.5,690.974349049841,False,False,False,False,False,False,True,True,True,True
2200f55,175.699527303,-37.9927303999,0.045,1.175,0.3,690.974348973876,False,False,False,False,False,False,True,True,True,True
2200f56,175.67673,-38.0106989001,0.045,1.175,0.5,690.974348972367,False,False,False,False,False,False,True,True,True,True
