,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
MXZ,178.3066,-37.5623,0.065,3.025,0.5,882.938006660058,False,False,False,False,False,False,True,True,True,True
PUZ,178.2572,-38.0715,0.055,1.275,0.5,811.089831715394,False,False,False,False,False,False,True,True,True,True
TBAS,178.3008,-38.3728,0.155,8.925,0.5,213.918770342705,False,False,False,False,False,False,True,True,True,True
TDHS,178.3654,-37.6333,0.085,4.225,0.5,227.859871379176,False,False,False,False,False,False,True,True,True,True
MOTS,173.0095,-41.1247,0.445,0.475,0.3,240.000000004176,True,True,True,False,True,True,True,True,True,True
HSSS,174.9815,-41.1519,0.045,0.275,0.5,453.966650149425,True,True,True,False,False,True,True,True,True,True
MNGS,175.7908,-39.8078,0.055,0.325,0.5,335.279503608703,True,True,False,False,False,False,True,True,True,True
PVCS,174.8739,-41.2247,0.285,0.325,0.3,196.746773050004,True,True,True,False,False,True,True,True,True,True
KAPS,174.7037,-36.8223,0.075,1.225,0.5,455.0,False,False,False,False,False,False,True,True,True,True
OPCS,177.2892,-38.0141,0.075,0.325,0.5,240.000000012094,False,False,False,False,False,False,True,True,True,True
THHS,175.7956,-39.68,0.055,0.325,0.5,500.000000000003,True,True,False,False,False,False,True,True,True,True
ORCS,175.4126,-39.4174,0.065,0.375,0.5,455.0,True,True,False,False,False,False,True,True,True,True
WBFS,176.3111,-40.4009,0.045,0.325,0.5,455.000000129388,True,True,False,False,False,False,True,True,True,True
WPWS,176.5843,-39.9439,0.075,2.825,0.5,335.279506034569,True,True,False,False,False,False,True,True,True,True
CPFS,176.221,-40.8988,0.095,8.625,0.5,240.00000121379,True,True,True,False,False,True,True,True,True,True
MRZ,175.5785,-40.6605,0.055,0.225,0.5,688.507030071284,True,True,True,False,False,True,True,True,True,True
TUHS,175.2483,-38.8641,0.065,1.125,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
GKBS,178.0319,-38.6822,0.105,10.175,0.3,413.819492732931,False,False,False,False,False,False,True,True,True,True
PNMS,175.5931,-40.3629,0.065,0.325,0.5,500.000000005089,True,True,False,False,False,True,True,True,True,True
PNBS,175.6076,-40.3489,0.065,0.325,0.5,500.000000003373,True,True,False,False,False,True,True,True,True,True
PGFS,176.6118,-40.3022,0.065,0.725,0.5,240.000000000365,True,True,False,False,False,False,True,True,True,True
WNPS,169.143,-44.6946,0.205,0.275,0.3,453.00028126311,False,False,True,True,False,False,False,True,False,True
GLNS,168.4065,-44.8644,0.065,0.275,0.3,453.000000000015,False,False,True,True,False,False,True,True,True,True
MCNS,170.0972,-43.7364,0.055,0.275,0.3,246.613837145352,False,False,True,True,True,True,False,True,False,True
NSBS,168.6609,-43.9962,0.045,0.625,0.5,240.001227631396,False,False,True,True,False,False,False,True,False,True
BDCS,169.7194,-46.2491,0.065,0.375,0.5,455.000000004195,False,False,True,True,False,False,True,True,True,True
TWAS,170.0983,-44.2546,0.205,0.325,0.3,399.002455708339,False,False,True,True,False,False,False,True,False,True
MECS,169.2329,-44.2304,0.055,0.275,0.3,246.613837142329,False,False,True,True,False,False,False,True,False,True
QTPS,168.6629,-45.0322,0.065,0.325,0.3,238.158437000736,False,False,True,True,False,False,True,True,True,True
HORC,171.9599,-43.5396,1.065,2.075,0.3,521.475033307169,False,False,False,False,True,True,True,True,True,True
NWFS,175.234,-41.5891,0.075,3.075,0.5,246.613837142307,True,True,True,False,False,True,True,True,True,True
SPRS,171.9301,-43.3368,0.035,0.325,0.3,500.07746871798,False,False,False,False,True,True,True,True,True,True
WVZ,170.7368,-43.0744,0.055,0.275,0.5,882.740519491108,False,False,False,False,True,True,True,True,True,True
REHS,172.6351,-43.5219,0.645,2.575,0.3,159.422189042797,False,False,False,False,True,True,True,True,True,True
QRZ,172.5291,-40.8255,0.035,0.325,0.5,883.043871407886,True,True,True,False,True,True,True,True,True,True
KOWC,171.8548,-43.3215,0.055,0.375,0.3,246.614098405955,False,False,False,False,True,True,True,True,True,True
HWHS,174.2742,-39.5851,0.085,1.425,0.5,210.297872214401,True,True,True,False,False,True,True,True,True,True
HUKS,174.5681,-39.2605,0.045,1.425,0.5,500.000015166394,True,True,False,False,False,False,True,True,True,True
WCSS,171.8635,-43.4577,0.005,0.325,0.3,500.005620252286,False,False,False,False,True,True,True,True,True,True
KLDS,172.875,-41.6731,0.255,0.325,0.3,500.110250454451,True,True,True,False,True,True,True,True,True,True
SHFC,172.0258,-43.3912,0.065,0.375,0.3,500.242408076337,False,False,False,False,True,True,True,True,True,True
WVAS,170.7372,-43.0716,0.055,0.275,0.5,842.077956421425,False,False,False,False,True,True,True,True,True,True
GHHS,178.0177,-38.6418,0.105,10.475,0.3,224.518571946629,False,False,False,False,False,False,True,True,True,True
HAFS,170.5561,-43.1489,0.065,0.325,0.5,335.279766481485,False,False,False,False,True,True,False,True,True,True
KEKS,173.9814,-41.9557,0.055,3.625,0.5,455.0,True,True,True,False,True,True,True,True,True,True
SBRC,172.2524,-43.8087,0.425,2.025,0.3,196.999741186384,False,False,False,False,True,True,True,True,True,True
AKSS,172.9635,-43.8109,0.015,1.425,0.3,527.739941849886,False,False,False,False,True,True,True,True,True,True
DORC,172.0938,-43.8968,1.035,2.075,0.3,239.999963905631,False,False,False,False,True,True,False,True,True,True
DSLC,172.1979,-43.6675,0.455,1.475,0.3,499.8029274628,False,False,False,False,True,True,True,True,True,True
GDLC,172.0888,-43.5862,0.615,1.675,0.3,468.279811640547,False,False,False,False,True,True,True,True,True,True
